fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.059,other,7.9,0.47,1.21,0.17,0.16,14,actual,136,actual,0.67,2,1,1,1,2,0,0,115364,1695,146098,1130535,200,3639,2227,60,0.57,225,150,14,0.61,112,1128805,521932,470351,2021-07-24,https://covidactnow.org/us/montana-mt,0.488,0.44,0,963455
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.068,other,11.9,0.2,1.38,0.1,0.22,158,actual,1667,actual,0.77,2,1,2,1,2,0,1,1028142,13586,1013741,11281978,1215,29396,18364,524,0.64,2382,1825,158,0.77562210038,1655,11987150,5269373,4538172,2021-07-24,https://covidactnow.org/us/north_carolina-nc,0.502,0.433,8,9571167
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.019,other,3.7,3.59,1.22,0.32,0.06,5,actual,116,actual,0.6,2,0,1,0,2,0,0,111201,1569,100175,1577716,500,3991,1668,33,0.55,202,121,5,0.67,43,729210,341927,303242,2021-07-24,https://covidactnow.org/us/north_dakota-nd,0.449,0.398,0,656264
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.121,other,7.2,1.43,1.37,0.14,0.12,29,actual,337,actual,0.64,2,2,1,0,2,0,0,226839,2546,262127,1849052,1000,7482,3165,96,0.53,570,366,29,0.638330757342,233,2145450,1023358,946626,2021-07-24,https://covidactnow.org/us/nebraska-ne,0.529,0.489,0,1911332
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.017,other,2.6,0.8,1.18,0.26,0.04,4,actual,172,actual,0.62,2,0,1,1,2,0,0,100152,1385,83157,2065422,140,3472,2251,20,0.68,284,176,4,0.56,46,1884060,871767,787212,2021-07-24,https://covidactnow.org/us/new_hampshire-nh,0.641,0.579,0,1578909
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.029,other,6.9,0.98,1.32,0.1,0.02,42,actual,1282,actual,0.43,2,0,1,0,2,0,0,1032255,26568,1019556,14136768,3000,30568,17013,332,0.69,3051,1324,42,0.176470588235,909,11943385,5771978,5105309,2021-07-24,https://covidactnow.org/us/new_jersey-nj,0.65,0.575,4,10216488
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.038,other,8.8,0.4,1.32,0.11,0.21,33,actual,270,actual,0.71,2,1,1,1,2,0,1,208487,4399,276681,2839205,375,5482,2999,104,0.59,429,303,33,0.59,244,2418895,1355256,1185557,2021-07-24,https://covidactnow.org/us/new_mexico-nm,0.646,0.565,3,2455789
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.15,other,27.6,0.14,1.21,0.1,0.49,182,actual,518,actual,0.78,3,2,3,1,2,0,1,349043,5817,464306,3146579,600,9585,7122,831,0.68,893,700,182,0.79,1003,3239420,1613536,1346575,2021-07-24,https://covidactnow.org/us/nevada-nv,0.524,0.437,20,2908084
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.019,other,6.6,1.49,1.33,0.1,0.04,91,actual,3256,actual,0.63,2,0,1,0,2,0,0,2131176,53216,2398536,46511549,9620,62862,39855,774,0.74,5354,3347,91,0.63,1698,24724925,12087962,10972696,2021-07-24,https://covidactnow.org/us/new_york-ny,0.621,0.564,2,22639009
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.028,other,5.6,0.5,1.32,0.1,0.05,69,actual,2596,actual,0.65,2,0,1,1,2,0,0,1120922,20467,970371,12513921,1659,48487,23549,685,0.61,4121,2665,69,0.732111692845,802,12709325,5762454,5386361,2021-07-24,https://covidactnow.org/us/ohio-oh,0.493,0.461,18,10969563
